@RELATION tomcat

@ATTRIBUTE filename		numeric
@ATTRIBUTE codelines	numeric
@ATTRIBUTE cyclomatic	numeric
@ATTRIBUTE isbug		{0, 1}

@data
1553268145,176,2,0
-1818984894,37,1,0
669156311,97,2,0
621477893,67,2,0
179234326,67,1,0
-1729269102,17,2,0
757675700,92,3,0
1059964748,73,1,0
-1606784537,178,1,0
1862454710,344,1,0
-551393441,201,1,0
787316409,601,2,0
929957721,230,2,0
-1537743794,454,2,0
1944598071,153,2,0
-606382517,102,2,0
286977587,14,2,1
1050605140,89,2,0
1852916129,128,3,0
1095955103,225,2,0
378131084,459,2,1
-1937575892,263,1,0
377719548,349,5,0
2093061369,199,1,0
-1669516223,223,1,0
946985619,207,1,0
1557716071,52,3,0
409966249,188,2,0
365114678,1577,3,0
34123075,1145,2,0
381430589,1083,5,0
-534586382,105,2,0
-1760023932,122,2,0
689313600,645,2,0
-2025416264,416,1,0
796943907,124,2,0
-1744731060,434,4,0
1575853937,377,2,0
-1642925979,149,2,0
405023319,637,7,0
-1748651347,390,4,0
2091368058,538,2,0
-1315324142,353,3,0
968167304,204,2,0
634213904,507,1,0
-1083080284,108,2,0
345417155,136,2,0
-948073743,38,1,0
1862454710,344,1,0
56764888,10,1,0
-1752062808,10,1,0
-1392174602,9,0,0
-1238532933,9,0,0
128368705,10,1,0
1507054799,27,1,0
-509161531,10,1,0
-13137550,17,1,0
1543627035,23,2,0
746656391,409,2,0
2025026144,39,2,0
-169361429,89,1,0
895487593,64,1,0
-313137244,82,1,0
1360566277,85,2,0
-1542799221,20,4,0
-1313492522,91,4,0
-1822195238,97,2,0
660669462,145,1,0
1862454710,344,1,0
-2140190677,268,2,0
660669462,145,1,0
1862454710,344,1,0
1211938711,105,3,0
-83104816,99,3,0
-838691043,1091,2,0
-997300264,16,1,0
1026380871,5,1,0
-953678193,48,1,0
817224438,79,0,0
-1939329841,9,1,0
1679412867,28,1,0
-861028725,20,1,0
28630190,15,1,0
167610382,30,1,0
-1911063732,15,1,0
1945804711,38,1,0
-586693675,48,1,0
865420225,21,1,0
-1298688509,5,1,0
-1637422792,51,1,0
806235392,26,1,0
-762203152,8,1,0
-1622994636,25,1,0
-365746490,16,1,0
-1250483205,9,1,0
1650126686,51,1,0
918392696,4,1,0
-1474745761,5,1,0
-684402847,5,1,0
-1763321674,5,1,0
459205671,16,1,0
-1800098529,9,1,0
-313781711,220,1,0
1550277981,6,1,0
-2024788132,29,1,0
-1305558239,22,1,0
-1126350611,31,1,0
-112000285,6,1,0
-269314916,4,1,0
1786657159,9,1,0
1128578896,30,1,0
1987291621,16,1,0
-1755445002,42,1,0
648676157,12,1,0
-1825266008,11,1,0
-906263404,21,1,0
966564969,8,1,0
-2073812459,6,1,0
-604930699,90,1,0
-1479270455,51,1,0
-1380896665,4,1,0
552407321,5,1,0
1143780841,8,1,0
2062032618,102,1,1
-453435081,158,1,0
722468407,124,2,0
1150880608,355,2,0
2145393235,1892,2,0
-2044253710,252,2,0
-1968184514,47,0,0
1848785589,579,1,0
177981116,335,2,0
873078676,24,1,0
-592697177,4,1,0
417822029,21,1,1
-33753779,14,1,0
-727421612,26,1,0
1198409938,17,1,0
1721221345,31,1,0
1324841738,27,1,0
1435062697,18,1,0
1966983708,4,1,0
-94581874,50,1,0
935754534,3,0,0
45005040,11,1,0
1589583503,143,1,0
1449363410,10,1,0
1416305087,175,1,0
-532291356,156,1,0
-314012871,327,1,0
-1284862692,76,1,0
-294152950,37,1,0
-1694659683,15,1,0
1560719358,116,1,0
1439101114,38,1,0
-226006431,3,0,0
-1661190716,24,1,0
1203284014,388,1,1
-1489595453,8,1,0
159360381,10,1,0
-249941597,10,1,0
1164285419,94,1,0
417822029,21,1,1
670735893,104,1,0
-838691043,1091,2,0
-852457365,502,2,1
-1588479832,13,1,0
-2078746773,33,1,0
676406348,40,1,0
2042287274,449,3,0
321271993,112,2,0
317429820,11,1,0
-1234969016,225,4,0
-1648907714,488,3,0
2116906971,118,2,0
-1250813415,64,2,0
-1028379833,6,1,0
-468901551,112,4,0
-782848934,46,10,0
-1232010722,94,1,0
417822029,21,1,1
646584624,70,2,0
227230960,28,1,0
300040403,33,2,0
-1461005082,27,1,0
-580846897,124,2,0
-1714324035,46,2,0
-718806753,13,1,0
-1083080284,108,2,0
-1969152249,74,2,0
335901059,419,2,0
-2124393755,96,2,0
1285456663,39,1,0
-665928567,35,1,0
1036123502,262,1,0
1244806509,11,1,0
-556840599,25,2,0
-1533422757,62,1,0
-53734008,18,1,0
421823895,10,1,0
-1314915544,7,1,0
-1564985721,4,1,0
